Question,Answer
"Имею высшее педагогическое образование, могу ли я претендовать на какую-либо вакансию у вас?","В настоящий момент в нашем Учреждении для формирования кадрового резерва ведется подбор резюме на вакансию «Администратор по приему и выдаче документов». Для того, чтобы Ваша кандидатура была рассмотрена просим Вас заполнить резюме по форме, которую Вы найдете на официальном сайте КГАУ «МФЦ Забайкальского края» http://www.mfc-chita.ru/chita/ob-mfc/vakansii. Отмечаем, что условием рассмотрения резюме является полное заполнение бланка, а также предоставление фотографии. При открытии вакансии специалист отдела правового и кадрового обеспечения свяжется с Вами дополнительно. "
Здравствуйте украли все документы восстановил паспорт только как восстановить инн и страховое (пенсионное) и цена вопроса госпошлина,"В соответствии с п. 5, ст. 7 Федерального закона от 1 апреля 1996 г. N 27-ФЗ 'Об индивидуальном (персонифицированном) учете в системе обязательного пенсионного страхования' в случае утраты страхового свидетельства обязательного пенсионного страхования:- застрахованное лицо, работающее по трудовому договору или заключившее договор гражданско-правового характера, на вознаграждение по которому в соответствии с законодательством РФ начисляются страховые взносы, обязано в течение месяца со дня утраты страхового свидетельства обязательного пенсионного страхования обратиться к страхователю с заявлением о его восстановлении; страхователь должен передать это заявление в соответствующий орган Пенсионного фонда РФ вместе с документом, подтверждающим страховой номер индивидуального лицевого счета застрахованного лица;- физическое лицо, самостоятельно уплачивающее страховые взносы, обязано в течение одного месяца со дня утраты страхового свидетельства обязательного пенсионного страхования обратиться в орган Пенсионного фонда РФ по месту своей регистрации в качестве страхователя с заявлением о его восстановлении;- застрахованное лицо, не работающее по трудовому договору или не заключившее договор гражданско-правового характера, на вознаграждение по которому в соответствии с законодательством РФ начисляются страховые взносы, и не зарегистрированное в качестве страхователя, обязано в течение месяца со дня утраты страхового свидетельства обязательного пенсионного страхования обратиться с заявлением о его восстановлении в орган Пенсионного фонда РФ по месту жительства;- орган Пенсионного фонда РФ по заявлению застрахованного лица об утрате страхового свидетельства обязательного пенсионного страхования в течение месяца со дня обращения на основании открытого на него индивидуального лицевого счета выдает ему дубликат указанного страхового свидетельства через страхователя или лично; для решения этого вопроса орган Пенсионного фонда РФ вправе потребовать от застрахованного лица дополнительную информацию, подтверждающую его личность и сведения, содержащиеся в его индивидуальном лицевом счете.Восстановить свидетельство так же можно, обратившись в МФЦ с паспортом и подав заявление о выдаче дубликата. Предоставление государственной услуги осуществляется бесплатно. Срок оказания услуги будет составлять 3 недели со дня подачи заявления.Для повторного получения ИНН Вам необходимо предоставить следующие документы:- Заявление по форме 2-2-Учет 'Заявление физического лица о постановке на учет в налоговом органе';- Документ, удостоверяющий личность физического лица (паспорт гражданина РФ, свидетельство о рождении), документ (документы), подтверждающий его регистрацию по месту жительства;- Квитанция об оплате государственной пошлины.Размер государственной пошлины за получение ИНН в связи с утратой составляет 300 рублей.Для восстановления ИНН и страхового пенсионного свидетельства Вы можете обратиться в КГАУ «МФЦ Забайкальская края», по адресу: г. Чита, ул. Генерала Белика, 12, и г. Чита, ул. Бутина, 72 с понедельника по субботу с 8-00 до 20-00. Дополнительно сообщаем, что в центре предусмотрены не приемные дни. Перед посещением Центра рекомендуем Вам уточнить график работы по телефонам 21-10-10 или 8 800 234 0175 (звонок бесплатный). "
"Я проживаю в Краснокаменске, могу ли я подать заявление о расторжении брака в Чите? ","Прием заявления о расторжении брака может осуществляться любым филиалом МФЦ по месту обращения граждан (вне зависимости от места проживания заявителя и места обращения за получением услуги), при условии, что заявление будет направлено в отдел ЗАГС по месту жительства супругов или месту государственной регистрации заключения брака в срок, не превышающий назначенную дату расторжения брака. При этом заявители (один из заявителей) должен явиться в орган ЗАГС для государственной регистрации расторжения брака лично. Вы можете обратиться в КГАУ «МФЦ Забайкальская края», по адресу: г. Чита, ул. Генерала Белика, 12, и г. Чита, ул. Бутина, 72 с понедельника по субботу с 8-00 до 20-00.  Дополнительно сообщаем, что в центре предусмотрены не приемные дни. Перед посещением Центра рекомендуем Вам уточнить график работы по телефонам 21-10-10 или 8 800 234 0175 (звонок бесплатный).   "
вы оказываете услуги по назначению ежемесячных пособий по уходу за ребенком до достижения им возраста полутора лет ,"Уважаемый заявитель! Для более правильного и точного предоставления информации по интересующему Вас вопросу необходимы дополнительные сведения.Вы можете обратиться в КГАУ «МФЦ Забайкальская края», по адресу: г. Чита, ул. Генерала Белика, 12, и г. Чита, ул. Бутина, 72 с понедельника по субботу с 8-00 до 20-00. Дополнительно сообщаем, что в Центре предусмотрены не приемные дни. Перед посещением Центра рекомендуем Вам уточнить график работы по телефонам 21-10-10 или 8 800 234 0175 (звонок бесплатный). "
Как получить код регистрации в ЕСИА?,"Вы можете обратиться в КГАУ «МФЦ Забайкальская края», по адресу: г. Чита, ул. Генерала Белика, 12, и г. Чита, ул. Бутина, 72 с понедельника по субботу с 8-00 до 20-00. Дополнительно сообщаем, что в Центре предусмотрены не приемные дни. Перед посещением Центра рекомендуем Вам уточнить график работы по телефонам 21-10-10 или 8 800 234 0175 (звонок бесплатный). Для получения услуги Вам необходимо передоставить паспорт и СНИЛС. "
"хотим продать комнату в общежитии, где половина доли несовершеннолетней дочери, и купить на эти деньги дом в другом городе. Опека скорей всего распорядиться деньги на счёт ребёнка положить, но мы переезжаем в другой город, как там можно будет снять со счёта ребенка и купить необходимое жилье? Возможно ли не ложить деньги на счёт, а купить и отчитаться перед опекой, что мы купили недвижимость и выделили ребёнку доли?","Уважаемый заявитель! На базе центра 'Мои документы' данная услуга не предоставляется, по вашему вопросу рекомендуем Вам обратиться в Органы опеки и попечительства города Читы по адресу: Забайкальский край, г.Чита, ул. Забайкальского Рабочего, 94,  тел.: 8 (3022) 354625. "
"Подскажите пожалуйста, какие необходимы документы для оформления квартиры в право собственности? На руках имеется только договор социального найма. Также сколько будет составлять государственная пошлина? Заранее благодарен!  ","Первоначально необходмо приватизировать квартиру, для этого Вам нужно обратиться в Комитет по развитию инфраструктуры  администрации городского округа 'Город Чита' по адресу: г. Чита, ул. Петровская, 37, 4 этаж, телефон приемной: 32-28-87. Обращаем Ваше внимание, что срок бесплатной приватизации жилых помещений продлен до 1 марта 2016 года. После приватизации квартиры Вы сможете оформить право собственности. Для этого Вы можете обратиться в КГАУ «МФЦ Забайкальская края», по адресу: г. Чита, ул. Генерала Белика, 12, и г. Чита, ул. Бутина, 72 с понедельника по субботу с 8-00 до 20-00. Дополнительно сообщаем, что в центре предусмотрены не приемные дни. Перед посещением Центра рекомендуем Вам уточнить график работы по телефонам 21-10-10 или 8 800 234 0175 (звонок бесплатный).Для оформления недвижимости по приватизации, вам необходимо будет предоставить следующий пакет документов:1. Договор на передачу жилого помещения в собственность граждан в 3 экземплярах;2. Паспорт собственника (ов);3.Свидетельство о рождении (если в приватизации участвуют несовершеннолетние дети);4. Квитанция об оплате госпошлины (2000 руб.), либо если участников несколько и оформляется в долевую собственность, то госпошлина в размере 2000 руб. делится между всеми участниками. "
"Пожалуста, подскажите реквизиты для оплаты госпошлины на получение паспорта через МФЦ","Реквизиты для оплаты госпошлины на выдачу паспорта гражданина Российской Федерации:Получатель: УФК по Забайкальскому краю (УФМС России по Забайкальскому краю л/с 04911867220)ИНН 7536090993КПП 753601001р/с 40101810200000010001Отделение Чита, г. ЧитаБИК 047601001ОКТМО 76701000 (г. Чита)в крае у каждого поселения своё ОКТМПри подаче документов на выдачу паспорта гражданина Российской Федерации через многофункциональные центры «Мои Документы» необходимо указывать Код бюджетной классификации: 19210807100018034110 - при оплате государственной пошлины за выдачу паспорта (300 руб.); 19210807100018035110 -  при оплате государственной пошлины за выдачу паспорта гражданина Российской Федерации взамен утраченного или пришедшего в негодность (1500 руб.). Обращаем Ваше внимание, что в случае подачи заявления через многофункциональный центр паспорт оформляется и выдается территориальным структурным подразделением ФМС России (в пределах компетенции) в соответствии с требованиями Административного регламента.  "
Могу ли я с вашей помощью перевести земельный участок с снт под ижс?,"В КГАУ 'МФЦ Забайкальского края' Вы можете подать декларацию в Кадастровую палату на изменение разрешенного вида использования земельного участка. Перед этим Вам необходимо обратиться в Управление архитектуры и градостроительства по адресу: г. Чита, ул.9 Января, 55, телефон 35-28-47 (если земельный участок находится в городе Чите) или в местную администрацию (если земельный участок находится в районе) и получить выписку из правил землепользования с указанием всех видов разрешенного использования данного земельного участка. Выписка предоставляется бесплатно. Подать заявление на получение выписки может только собственник или представитель по доверенности, оформленной у нотариуса."
Хочу попасть в программу по приобретению жилья экономического класса. Где могу воспользоваться данной услугой и какие документы необходимо собрать?,"Вы можете обратиться в Центр 'Мои документы' для подачи заявления для включения в программу по приобретению жилья экономического класса по адресам ул. Генерала Белика, 12 или ул. Бутина, 72 с 8-00 до 20-00 часов с понедельника по субботу. Информируем Вас о том, что в центрах предусмотрены не приемные дни, уточнить о которых, а так же записаться на прием Вы можете по телефонам контакт центра 21-10-10 или 8 800 234 0175 (звонок бесплатный). Для получения муниципальной услуги необходимо предоставить следующий пакет документов: 1) копии документов, удостоверяющих личность заявителя и подтверждающих состав его семьи (паспорт, свидетельство о заключении брака, свидетельство о рождении члена семьи, решение об усыновлении (удочерении), решение об опеке, судебное решение о признании членом семьи, справка о составе семьи и иные документы); 2) копии документов, подтверждающих право пользования жилым помещением, занимаемым заявителем и членами его семьи (договор, ордер, решение о предоставлении жилого помещения); 3) документ, подтверждающий регистрацию по месту жительства заявителя и членов его семьи (выписка из домовой книги или копия финансового лицевого счета, заверенные органом или организацией, уполномоченными на их выдачу); 4) справка с основного места работы на территории городского округа «Город Чита» при отсутствии у заявителя регистрации на территории городского округа «Город Чита»; 5) справка органов государственной регистрации и органа, осуществляющего техническую инвентаризацию, о наличии или отсутствии жилых помещений на праве собственности по месту постоянного жительства заявителя и членов его семьи; 6) копии правоустанавливающих документов на жилые помещения, принадлежащие на праве собственности заявителю и (или) членам его семьи, права на которые не зарегистрированы в Едином государственном реестре прав на недвижимое имущество и сделок с ним; 7) письменное обязательство заявителя о том, что он не является членом жилищно-строительного кооператива, созданного в целях обеспечения жилыми помещениями отдельных категорий граждан в соответствии с Федеральным законом и Федеральным законом от 25 октября 2001 года N 137-ФЗ 'О введении в действие Земельного кодекса Российской Федерации', а также о том, что он не реализовал право на приобретение жилья экономического класса в соответствии с Федеральным законом. 8) согласие заявителя на обработку в установленном законодательством Российской Федерации порядке содержащихся в заявлении персональных данных. 9) справки о доходах гражданина и членов его семьи и справки о стоимости имущества, находящегося в собственности гражданина и членов его семьи, за расчетный период, равный одному календарному году, предшествующему дате подачи заявления. Кроме того необходимы документы, подтверждающие отнесение гражданина к одной или одновременно нескольким льготным категориям граждан, которые могут участвовать в программе. Более подробную информацию Вы можете получить в Контакт-центре МФЦ по телефонам 21-10-10 или 8-800-234-0175 (звонок бесплатный).  "
Можно ли через Вас сдать документы на замену водительских прав?,В настоящее время данная услуга в КГАУ 'МФЦ Забайкальского края' не предоставляется. По вопросу замены водительских прав Вам необходимо обращаться в подразделение ГИБДД.
"Какие документы мне необходимы, чтобы осуществить перепланировку квартиры? ","  Если у Вас еще не было согласования на перепланировку, Вы можете обратиться для получения этой услуги в Центр «Мои Документы» по адресам: ул. Генерала Белика, 12 или ул. Бутина, 72,  с понедельника по субботу с 8:00 до 20.00. Обращаем Ваше внимание, что по пятницам и субботам в одном из филиалов не приемный день, перед посещением центра рекомендуем уточнить график приема по телефонам: 21-10-10, 8-800-234-0175. Перечень документов, необходимых для согласования перепланировки:  1. Заявление; 2. Паспорт заявителя или представителя заявителя; 3. Доверенность; 4. Копия тех. паспорта (старый или новый если есть); 5. Договор купли-продажи, мены, при отсутствии таковых (лицевой счет квартиросъемщика), если квартира в собственности, то необходимо свидетельство.  6. Проект переустройства или перепланировки в форме экскиза 22 шт. Подписанный «Экскиз, адрес»  7. Разрешение Управления архитектуры и градостроительства (г. Чита, ул. 9 января, 55). После этого Вы обращаетесь за услугой БТИ для учета документов, разрешающих перепланировку. Перечень документов:  1. документ, удостоверяющий личность заявителя (оригинал и копия); 2. доверенность (при обращении представителя,оригинал); 3. технический паспорт; 4. решение межведомственной комиссии; 5. акт приемки объекта в эксплуатацию; 6. распоряжение об утверждении акта приемки в эксплуатацию.  "
"Возможно ли в филиалах МФЦ по городу Чите оплатить квитанции за коммунальные услуги, штрафы? ","По Вашему вопросу сообщаем, что в залах приема установлены терминалы сбербанка через которые вы можете совершить оплату за ЖКУ, оплатить штрафы или пошлины. Отдельной услуги по приему платежей в МФЦ не предусмотрено.  "
Могу ли я в МФЦ получить  справку с места жительства из домовой книги?,"С 21 декабря 2015 г. в центре 'Мои документы' оказывается услуга 'Выдача справок с места жительства гражданам, проживающим в домах индивидуальной застройки'. Обращаться могут граждане, проживающие в домах индивидуальной застройки Ингодинского, Черновского, Железнодорожного, Центрального административных районов г. Читы. Для получения услуги Вам необходимо предоставить: - домовую книгу; - документы, удостоверяющие личность всех лиц, зарегистрированных по указанному адресу; - свидетельства о рождении несовершеннолетних членов семьи; - свидетельство о смерти лица, в случае не снятия его с регистрационного учета в домовой книге. Муниципальная услуга предоставляется в момент обращения. Государственная пошлина за предоставление услуги не предусмотрена. Вы можете обратиться в офисы КГАУ «МФЦ Забайкальская края», расположенные по адресам: г. Чита, ул. Генерала Белика, 12, и г. Чита, ул. Бутина, 72 с понедельника по субботу с 8-00 до 20-00. Дополнительно сообщаем, что в Центре предусмотрены не приемные дни. Перед посещением Центра рекомендуем Вам уточнить график работы по телефонам 21-10-10 или 8 800 234 0175 (звонок бесплатный). Добро пожаловать в офисы «Мои Документы»! На имеющиеся вопросы готовы ответить Вам по телефонам  21-10-10 или 8 800 234 0175 (звонок бесплатный). "
"Я сдала в МФЦ документы для получения права собственности на квартиру. Мне позвонили из Контакт-центра МФЦ и сообщили, что пришло уведомление о приостановлении. Сотрудница  МФЦ пояснила, что договор купли-продажи не соответствует законодательству и необходимо  внести исправления. Почему на приёме не смотрят договор, чтобы документы не надо было дорабатывать? ","На Ваш вопрос поясняем, что сотрудник приёма МФЦ не уполномочен проводить правовую экспертизу предъявленных документов, это входит в компетенцию государственного регистратора Управления Росреестра по Забайкальскому краю. Согласно ст. 19 Федерального закона от 21 июля 1997 г. № 122-ФЗ «О государственной регистрации прав на недвижимое имущество и сделок с ним»  государственная регистрация прав приостанавливается государственным регистратором при возникновении у него сомнений в наличии оснований для государственной регистрации прав, в подлинности представленных документов или достоверности указанных в них сведений, а также в случае непредставления документов (сведений, содержащихся в них), запрашиваемых органом, осуществляющим государственную регистрацию прав, по межведомственным запросам. Заявитель вправе представить дополнительные доказательства наличия у них оснований для государственной регистрации прав, а также подлинности документов и достоверности содержащихся в них сведений. Государственная регистрация прав может быть приостановлена не более чем на один месяц, в течение этого срока Вы можете исправить недочёты, донести дополнительные документы."
"Продали квартиру, оформили договор купли-продажи через Центр Мои документы. Получили расписку. В связи с отъездом не смогли забрать договор. На данный момент утеряна расписка на получение документов. Каким образом можно получить договор?","По Вашему вопросу сообщаем, что хранение документов по данной услуге предусмотрено в течение 30 дней. В случае утраты расписки, готовый пакет документов можно получить, предъявив паспорт заявителя (либо представителя с доверенностью). Если за это время у Вас не было возможности обратиться в Центр за получением готового результата, Ваши документы были направлены в архив Росреестра по адресу ул. Анохина, 63, получить их можно по заявлению, обратившись в центр Мои документы либо в Управление Росреестра лично."
Скажите пожалуйста какие услуги в вашем центре вы мне можете предложить как безработному?,"На базе Центра 'Мои документы' для безбаботных граждан предоставляются следующие услуги:  1. Содействие гражданам в поиске подходящей работы, а работодателям в подборе необходимых работников 2. Информирование о положении на рынке труда в Забайкальском крае 3. Организация профессиональной ориентации граждан в целях выбора сферы деятельности (профессии), трудоустройства, прохождения профессионального обучения и получения дополнительного профессионального образования 4. Психологическая поддержка безработных граждан 5. Организация проведения оплачиваемых общественных работ 6. Организация временного трудоустройства несовершеннолетних граждан в возрасте от 14 до 18 лет в свободное от учебы время, безработных граждан, испытывающих трудности в поиске работы, безработных граждан в возрасте от 18 до 20 лет, имеющих среднее профессиональное образование и ищущих работу впервые 7. Социальная адаптация безработных граждан на рынке труда 8. Содействие безработным гражданам в переезде и безработным гражданам и членам их семей в переселении в другую местность для трудоустройства по направлению органов службы занятости 9. Организация ярмарок вакансий и учебных рабочих мест 10. Содействие самозанятости безработных граждан, включая оказание гражданам, признанным в установленном порядке безработными, и гражданам, признанным в установленном порядке безработными, прошедшими профессиональное обучение или получившим дополнительное профессиональное образование по направлению органов службы занятости, единовременной финансовой помощи при их государственной регистрации в качестве юридического лица, индивидуального предпринимателя либо крестьянского (фермерского) хозяйства, а также единовременной финансовой помощи на подготовку документов для соответствующей государственной регистрации  11. Профессиональное обучение и дополнительное профессиональное образование безработных граждан, включая обучение в другой местности 12. Предоставление гражданам справок о регистрации их в качестве безработных, периодах, включаемых в трудовой стаж  "
"Подскажите, как мне получить через МФЦ сведения о наличии либо отсутствии оформленных земельных отношений?","Для получения услуги Вы можете обратиться в Центр «Мои документы» по адресам: г. Чита, ул. Генерала Белика, 12, ул. Бутина, 72. Режим работы Центра: с понедельника по субботу с 8-00 до 20-00. Обращаем Ваше внимание, что по пятницам и субботам в одном из филиалов не приемный день, перед посещением Центра рекомендуем уточнить по телефону график приёма, а также по телефону можно записаться предварительно. Контактные номера телефонов: 21-10-10; 8-800-234-0175. Перечень необходимых документов: 1. Заявление пишется на месте. 2. Для физических лиц – копия паспорта. 3. Для юридических лиц – учредительный документ. 4. Копия документа, удостоверяющего право на здание, строение, сооружение, помещение.  "
Подскажите пожалуйста в вашем центре можно оформить документы на выплату единовременного пособия по беременности и родам?,"В КГАУ 'МФЦ Забайкальского края' предоставляются государственные услуги:- услуга ГУ 'Забайкальское региональное отделение Фонда социального страхования РФ» 'Назначение и выплата пособия по беременности и родам в случае прекращения деятельности страхователем на день обращения застрахованного лица за пособием по беременности и родам либо  в случае невозможности его выплаты страхователем в связи с недостаточностью денежных средств на его счете в кредитной организации и применением очередности списания денежных средств со счёта, предусмотренной Гражданским кодексом Российской Федерации, либо в случае отсутствия возможности установления местонахождения страхователя и его имущества, на которое может быть обращено взыскание, при наличии вступившего в законную силу решения суда об установлении факта невыплаты таким страхователем пособия по беременности и родам застрахованному лицу'- и услуга ГКУ 'ЕСРЦ' Забайкальского края 'Осуществление назначения и выплаты по беременности и родам женщинам, уволенным в связи с ликвидацией организации, прекращением физическими лицами деятельности в качестве индивидуальных предпринимателей, прекращением полномочий частными нотариусами и прекращением статуса адвоката, а также с прекращением деятельности иными физическими лицами, профессиональная деятельность которых в соответствии с федеральными законами подлежит государственной регистрации или лицензированию, в течение 12 месяцев, предшествовавших дню признания их в установленном порядке безработными'.Для получения более подробной информации приглашаем Вас на личную консультацию в Центр 'Мои документы'  по адресам: г. Чита, ул. Генерала Белика,12 или ул. Бутина, 72. Режим работы: с понедельника  по субботу с 8-00 до 20-00. Обращаем Ваше внимание, что по пятницам в одном из филиалов не приемный день, перед посещением Центра рекомендуем позвонить по телефону 21-10-10; 8-800-234-0175 и уточнить график приёма. "
"Подскажите, пожалуйста, в этом году оформили ипотеку на квартиру и планируем сделать перепланировку. Возможно ли это, если да, то каким образом это узаконить? Заранее спасибо.  ","Вы можете узаконить переустройство и (или) перепланировку  переустраиваемого и (или) перепланируемого жилого помещения через МФЦ.  Для приема заявления  и выдачи документов о согласовании переустройства и (или) перепланировки жилого помещения Вам потребуются документы:  1. Документ удостоверяющий личность гражданина; 2. Документ, удостоверяющий права (полномочия) представителя физического или юридического лица, если с заявлением обращается представитель заявителя; 3. Правоустанавливающие документы на переустраиваемое помещение; 4. Технический паспорт переустраиваемого и (или) перепланируемого жилого помещения; 5. Заключение органа по охране памятников архитектуры, истории и культуры о допустимости проведения переустройства и (или) перепланировки, если такое жилое помещение является памятником архитектуры, истории и культуры; 6. Разрешение Управления архитектуры и градостроительства Комитета по развитию инфраструктуры администрации городского округа 'Город Чита'-  в случае незначительного переустройства и (или) перепланировки; 7. Подготовленный и оформленный в установленном порядке проект переустройства и (или) перепланировки  переустраиваемого и (или) перепланируемого жилого помещения - в случае значительного переустройства и (или) перепланировки; 8. Согласие всех собственников помещений в доме, в случае уменьшения размера общего имущества; 9. Подготовленный и оформленный в установленном порядке эскизный проект переустройства и (или) перепланировки  переустраиваемого и (или) перепланируемого жилого помещения в форме эскиза (2 экз.) - в случае незначительного переустройства и (или) перепланировки. 10. Согласие  Банка на переустройство и (или) перепланировку  переустраиваемого и (или) перепланируемого жилого помещения, в случаи оформления ипотеки. Все документы предоставляются в оригиналах и копиях.  Муниципальная услуга предоставляется в течение 45 дней с момента представления заявителем в Комитет ЖКХ заявления и необходимых документов. После получения Решения межведомственной комиссии о согласовании переустройства и/или перепланировки и осуществления факта самой перепланировки Вам необходимо обратиться в БТИ за проведением обследования, замеров и изготовлением технического паспорта и технического плана (в случае незначительной перепланировки).  В случае значительного переустройства и /или перепланировки работы проходят в два этапа:  I этап – Вам выдается технический паспорт, который Вы предъявляете на Межведомственную комиссию для оформления Акта приемки объекта в эксплуатацию.  II этап - После согласования со всеми службами Вы передаете подписанный Акт приемки объекта в эксплуатацию в БТИ для изготовления техплана. Технический план изготавливается на электронном носителе и передается в кадастровую палату на внесение изменений в кадастровый учет.  Если при осуществлении перепланировки поменялась площадь квартиры, Вам будет необходимо поменять свидетельство о государственной регистрации права и предоставить все документы об изменениях в банк.  "
